FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,0,0,0,0,441.78423083000,446.26427474000,0,DunkelhÃ¶lzlistrasse,2,405.01126294900,9500
0,0,0,0,0,452.22679833000,446.75246913000,0,Morgentalstrasse,1,111.05086064600,9501
1,0,0,0,0,462.50094800000,461.42532793000,0,Neuwiesenstrasse,0,43.79552157590,9502
1,0,0,0,0,612.82866619000,616.74453475000,0,Heubeeriweg,0,30.03436925060,9503
1,0,0,0,0,485.22245231000,476.54569140000,0,Familiengartenareal Althoos / Schafmattstrasse / Glaubtenstrasse 10,0,86.51375318340,9504
0,0,0,0,0,435.80116653000,434.13666000000,0,RÃ¼tschistrasse,0,44.89065875770,9505
0,FT,0,0,1,439.33947500000,446.97254357000,0,Reinacherstrasse,0,173.46648174100,9506
0,0,0,0,0,507.33942071000,507.57812000000,0,Kapfsteig,0,25.63815270040,9507
0,0,0,0,0,487.20045838000,486.13789643000,0,Hauswiesenstrasse,0,54.90907254140,9508
1,0,0,0,0,406.90564207000,407.22637312000,0,Hardauweg,1,85.75719787020,9509
0,TF,0,1,0,411.14522500000,412.29518950000,0,Helenastrasse,0,115.03014351200,9510
0,0,0,0,0,407.79149836000,409.51316000000,0,Paulstrasse,0,121.74177151500,9511
0,0,0,0,0,570.45572750000,571.94758700000,0,Billeterstrasse,1,144.99468271100,9512
1,0,0,0,0,427.39100500000,427.55585070000,0,Luchsweg,0,18.46781076810,9513
1,0,0,0,0,432.02696800000,432.54558300000,0,Grubenackerstrasse,1,142.32232345000,9514
0,0,0,0,0,428.78447188000,431.83424719000,0,Funkwiesenstrasse,0,179.30439177400,9515
